channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,channel13,channel14,channel16,channel17,channel18,channel19,channel20,channel21,channel22,channel23,channel24,channel25
29.8,34.2,32,42.8,32,34.7,32.2,15.1,25,24.6,36.5,27.3,34.0,31.9,11.9,29.0,26.2,28.3,34.3,34.3,27.5,34.0,31.6,34.5
49.3,23.3,36.3,34,36.3,35.7,29.9,9.7,16.5,20.7,35.3,25.1,22.2,29.3,6.5,25.7,18.9,23.6,35.8,35.8,22.7,35.0,31.8,30.0
39.1,18.6,28.9,16.1,28.9,25.7,17.9,9,13.6,15.2,23.6,17.5,15.0,20.7,5.78,18.5,13.4,16.6,26.2,26.2,16.2,25.0,23.0,20.8
13.8,23.1,18.5,13.6,18.5,17.2,10.7,13.6,6.2,11,16.4,13.8,11.2,16.5,14,13.2,11.6,12.4,17.5,17.5,12.8,16.5,16.1,15.1
10.3,23.5,16.9,5.6,16.9,14.1,8.1,14.8,4,10.1,12.2,12.3,5.6,14.3,14.08,10.9,8.3,10.2,14.6,14.6,10.4,13.6,13.8,9.9
4.23,9.76,7,1.3,7,5.6,8.5,10.1,12.9,9.4,4.6,8.1,6.0,7.0,9.3,8.0,6.7,8.3,5.8,5.8,8.2,6.2,6.7,5.1
1.36,1.21,1.3,10.2,1.3,3.5,9.1,4.8,14.5,9.6,5.0,5.8,13.3,4.5,14.2,7.4,13.0,8.3,3.1,3.1,9.3,4.0,4.1,8.5
8.05,16.8,12.4,15.5,12.4,13.2,12.1,16.8,9.4,12.3,13.7,14.0,13.2,14.2,15.6,13.0,14.9,13.2,13.1,13.1,13.2,12.9,13.4,13.7
14.7,17.8,16.3,9.5,16.3,14.6,12.2,17.8,17.7,12.3,13.5,14.9,10.2,14.9,13.9,14.4,8.9,14.2,14.9,14.9,14.0,14.5,14.9,11.9
10.7,5.94,8.3,12.5,8.3,9.4,10.4,5.9,10.3,8.3,10.1,8.6,15.1,8.7,12.0,9.6,13.7,9.7,9.2,9.2,10.3,9.4,8.9,9.4